#,Team,Name,Average Sofascore rating,Yellow cards,Red cards,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %,Total duels won,Total duels won %,Minutes played,Was fouled,Fouls,Dispossessed,Possession lost,Appearances,Started
450,Smouha,Ahmed Gamal,6.60,5,0,63,49.61,24,68.57,87,53.7,1415,22,38,10,246,24,15
451,Ismaily,Mahmoud Shabrawy,6.59,2,0,29,46.03,3,27.27,32,43.24,481,17,4,17,111,19,2
452,El Dakhlya,Momen Atef,6.59,4,0,31,50.0,9,37.5,40,46.51,1169,9,7,12,181,19,13
453,ENPPI,Abdel Rahman Emad,6.59,3,0,46,51.69,3,50.0,49,51.58,459,13,12,13,99,20,2
454,Pharco FC,Mahmoud Emad,6.59,0,0,33,48.53,7,46.67,40,48.19,638,12,11,12,80,17,6
455,Smouha,Mohamed Saeed,6.59,2,0,46,40.71,25,34.72,71,38.38,1455,12,27,18,237,27,17
456,Ceramica Cleopatra,Mahmoud Zalaka,6.59,0,0,30,47.62,3,30.0,33,45.21,290,7,10,9,68,19,3
457,Smouha,Halimo,6.59,3,0,65,45.45,34,59.65,99,49.5,1873,25,27,15,267,28,23
458,Ghazl El Mahalla,Paulin Voavy,6.59,1,0,25,47.17,0,0.0,25,44.64,443,10,4,16,84,10,7
459,Al Ahly FC,Mohamed Dhaoui,6.59,1,0,20,40.0,1,20.0,21,38.18,297,10,7,5,54,9,4
460,Haras El Hedoud,Ahmed El Saadani,6.59,1,0,6,100.0,1,100.0,7,100.0,765,6,0,0,121,9,9
461,National Bank of Egypt,Razak Cissé,6.59,0,0,30,30.93,3,12.5,33,27.27,846,6,17,27,163,16,10
462,El Dakhlya,Eric Serge,6.59,1,0,13,43.33,7,58.33,20,47.62,422,4,6,6,58,8,6
463,Smouha,Zeyad Tarek,6.58,2,0,6,40.0,2,66.67,8,44.44,148,1,1,3,32,8,1
464,Ghazl El Mahalla,Abdelrahman Atef,6.58,2,0,23,28.75,12,29.27,35,28.93,946,18,30,22,117,27,8
465,Pyramids FC,Abdallah Magdy,6.58,2,1,13,61.9,5,55.56,18,60.0,507,3,4,1,66,16,4
466,Al-Masry,Franck Mbella Etouga,6.58,1,0,16,32.65,7,33.33,23,32.86,576,4,6,19,81,10,8
467,National Bank of Egypt,Firas Ifia,6.58,2,0,6,37.5,1,50.0,7,38.89,127,3,2,2,27,7,0
468,Haras El Hedoud,Wagih Abdel Hakim,6.58,1,0,27,48.21,21,26.92,48,35.82,1220,12,10,6,173,27,14
469,Smouha,Barakat Haggag,6.58,0,1,22,59.46,30,50.85,52,54.17,925,6,7,1,130,14,11
470,Zamalek SC,Youssef Hassan,6.58,0,0,1,33.33,1,16.67,2,22.22,200,0,0,1,16,4,3
471,Modern Future FC,Abdallah Yaisien,6.58,1,0,8,57.14,0,0.0,8,47.06,94,1,1,4,22,5,0
472,Haras El Hedoud,Ahmed Ayman,6.57,1,0,16,48.48,6,54.55,22,50.0,466,3,6,4,98,13,6
473,Modern Future FC,Mostafa El-Badry,6.57,1,0,44,49.44,2,25.0,46,47.42,733,25,9,15,108,17,8
474,Al-Masry,Islam Ateia,6.57,2,0,35,38.89,15,41.67,50,39.68,810,13,29,18,108,16,10
475,Tala'ea El-Gaish,Arabi Badr,6.57,2,0,10,43.48,7,70.0,17,51.52,264,5,10,1,29,10,3
476,Pyramids FC,Mohamed Sadek,6.57,4,0,25,38.46,3,33.33,28,37.84,423,6,16,12,67,11,5
477,Modern Future FC,Aymen Sfaxi,6.56,2,1,17,40.48,6,31.58,23,37.7,609,5,14,7,93,17,5
478,Ghazl El Mahalla,Mahmoud Alaa El Katamy,6.56,1,0,17,54.84,6,50.0,23,53.49,459,3,4,1,74,8,7
479,Smouha,Abubakar Liday,6.56,1,0,37,54.41,0,0.0,37,50.68,356,20,12,12,83,13,3
480,Ghazl El Mahalla,Karim Mostafa,6.56,1,0,27,38.03,10,41.67,37,38.95,945,11,9,19,172,22,12
481,Smouha,Ahmed Shousha,6.56,3,0,21,51.22,27,54.0,48,52.75,1336,8,13,3,194,17,15
482,Smouha,Mohamed Nadi,6.55,3,0,22,31.88,28,54.9,50,41.67,746,4,11,18,166,17,6
483,Haras El Hedoud,Ahmed Dawooda,6.55,1,0,13,41.94,0,0.0,13,34.21,208,9,5,9,32,13,1
484,Aswan SC,Omar Saoudi,6.55,0,0,0,0.0,0,0.0,0,0.0,38,0,0,0,0,3,0
485,Tala'ea El-Gaish,Fares Hatem,6.55,0,0,2,66.67,1,33.33,3,50.0,29,1,1,0,10,4,0
486,Smouha,Momen Mohamed Abd Rabo,6.55,1,0,1,33.33,9,81.82,10,71.43,250,1,0,2,28,4,3
487,Smouha,Tariq Alaa,6.55,1,0,13,43.33,1,20.0,14,40.0,363,1,12,0,51,7,4
488,Aswan SC,Ahmed Hamoudi,6.55,1,0,17,48.57,0,0.0,17,47.22,316,8,0,6,84,14,0
489,Tala'ea El-Gaish,Mahmoud Wahid,6.54,0,0,9,56.25,4,100.0,13,65.0,209,2,2,1,47,5,2
490,Haras El Hedoud,Valentine Odoh,6.54,5,0,37,42.53,27,28.42,64,35.16,1028,14,30,11,108,16,13
491,Al-Ittihad Alexandria,Abdelghani Mohamed,6.54,3,0,34,42.5,9,39.13,43,41.75,624,13,17,12,116,21,6
492,Ghazl El Mahalla,Charles Ekpenyong,6.54,3,0,17,29.82,9,50.0,26,34.67,553,7,14,9,88,13,7
493,El Dakhlya,Karim Yehia,6.53,4,0,18,43.9,12,48.0,30,45.45,1030,5,16,3,164,14,14
494,Aswan SC,Islam Gamal,6.53,1,2,5,50.0,6,40.0,11,44.0,402,1,5,0,52,8,4
495,ENPPI,Momen Rady,6.53,2,0,13,34.21,4,28.57,17,32.69,383,4,18,5,44,8,3
496,Al-Ittihad Alexandria,Ahmed Adel,6.53,1,0,71,38.38,9,42.86,80,38.83,1612,26,14,42,350,26,19
497,Al-Mokawloon,Youssef El Gohary,6.52,0,0,24,40.0,7,50.0,31,41.89,493,5,7,11,141,11,5
498,Modern Future FC,Hadji Barry,6.52,0,0,12,29.27,1,7.69,13,24.07,790,6,4,10,90,15,8
499,Ceramica Cleopatra,Mohamed Antar,6.52,1,1,78,45.61,9,64.29,87,47.03,1090,24,13,32,244,21,13
500,Al-Masry,Ahmed Shadad,6.52,2,0,16,45.71,1,100.0,17,47.22,231,4,11,7,31,8,3
501,El Dakhlya,Mohamed Nosseir,6.52,0,0,8,47.06,6,46.15,14,46.67,375,1,7,2,47,12,5
502,El Dakhlya,Abdullahi Ojifinni,6.52,1,0,11,35.48,5,31.25,16,34.04,255,3,11,6,54,5,4
503,Al-Ittihad Alexandria,Ahmed Eid,6.52,0,0,43,40.95,13,37.14,56,40.0,841,15,19,20,141,22,8
504,Pharco FC,Ziad Tolba,6.52,0,0,5,45.45,5,38.46,10,41.67,249,4,3,1,20,7,2
505,Tala'ea El-Gaish,Marwan Osman,6.52,0,0,4,30.77,3,23.08,7,26.92,200,1,3,4,31,9,1
506,Haras El Hedoud,Gharib Yasser,6.52,2,0,16,50.0,6,60.0,22,52.38,448,5,9,4,45,16,4
507,National Bank of Egypt,Amir Medhat,6.51,3,0,15,51.72,15,60.0,30,55.56,599,5,9,0,75,11,6
508,El Dakhlya,Christopher John,6.51,3,0,50,39.68,19,32.76,69,37.5,1175,26,18,35,242,28,13
509,Al Ahly FC,Mohamed Zaalouk,6.50,0,0,0,0.0,0,0.0,0,0.0,19,0,1,0,0,1,0
510,Ismaily,Eiad El Askalany,6.50,0,0,4,57.14,2,100.0,6,66.67,90,1,2,0,7,1,1
511,ENPPI,Alhassan Mubarak,6.50,0,0,0,0.0,1,100.0,1,33.33,8,0,1,0,0,1,0
512,Ghazl El Mahalla,Mohamed Nabih,6.50,0,0,0,0.0,1,25.0,1,25.0,44,0,0,0,1,1,0
513,Al-Ittihad Alexandria,Ahmed Hamdeen,6.50,0,0,2,40.0,0,0.0,2,28.57,31,0,1,0,5,1,0
514,Haras El Hedoud,Salisu Mobarak,6.50,1,0,0,0.0,0,0.0,0,0.0,12,0,1,0,4,1,0
515,Al-Mokawloon,Ahmed Rashwan,6.50,0,0,0,0.0,1,50.0,1,33.33,15,0,0,0,2,1,0
516,Haras El Hedoud,Ahmed Ali Kamel,6.50,0,0,2,28.57,1,14.29,3,21.43,66,2,1,3,14,3,0
517,Tala'ea El-Gaish,Akinade Moses Ibukun,6.50,1,0,6,35.29,1,14.29,7,29.17,156,2,5,4,22,4,2
518,Ghazl El Mahalla,Ibrahim Ayesh,6.50,1,0,5,29.41,2,100.0,7,36.84,220,0,4,0,27,4,3
519,El Dakhlya,Hesham Sabry,6.50,0,0,3,30.0,1,50.0,4,33.33,50,0,3,3,11,4,0
520,Al-Masry,Islam El Mizzayn,6.50,0,0,4,36.36,3,42.86,7,38.89,201,2,2,1,32,5,2
521,Ghazl El Mahalla,Hany Adel,6.50,0,0,7,63.64,2,28.57,9,50.0,128,4,1,1,26,5,1
522,Aswan SC,Abdul Aziz Mousa,6.50,1,0,6,46.15,1,50.0,7,46.67,130,2,2,1,15,5,1
523,Ghazl El Mahalla,Mostafa Osama,6.50,1,0,15,53.57,0,0.0,15,46.88,199,7,3,3,33,7,2
524,Haras El Hedoud,Momen Awad,6.50,3,0,12,52.17,3,25.0,15,42.86,894,4,3,4,145,12,10
525,El Dakhlya,Hussein Ragab,6.48,1,0,9,23.08,20,35.09,29,30.21,677,3,9,15,104,15,8
526,National Bank of Egypt,Moussa Diawara,6.48,2,0,12,37.5,6,50.0,18,40.91,327,5,11,5,59,19,2
527,Ghazl El Mahalla,Tarek Samy,6.48,0,0,1,20.0,3,50.0,4,36.36,156,0,3,0,26,4,1
528,Ismaily,Ahmed Mohsen,6.48,1,0,9,34.62,1,33.33,10,34.48,414,1,6,4,62,8,3
529,ENPPI,Ahmed Nader Hawash,6.47,3,0,18,35.29,8,33.33,26,34.67,396,8,9,9,76,14,4
530,Zamalek SC,Youssef Obama,6.47,1,0,2,40.0,2,25.0,4,30.77,126,1,2,1,20,5,0
531,Al Ahly FC,Rafaat Khalil,6.46,1,0,8,44.44,6,60.0,14,50.0,192,3,3,1,32,7,1
532,Tala'ea El-Gaish,Ashraf Magdy,6.46,0,0,6,33.33,1,100.0,7,36.84,72,3,2,5,20,7,0
533,Aswan SC,Ahmed Belya,6.45,0,0,3,33.33,0,0.0,3,27.27,66,0,1,2,21,7,0
534,Haras El Hedoud,Mahmoud Abou-Gouda,6.45,1,0,4,17.39,7,26.92,11,22.45,280,0,8,6,51,9,2
535,El Dakhlya,Fahd Gomaa,6.44,1,1,7,29.17,3,16.67,10,23.81,211,3,11,3,26,8,3
536,Zamalek SC,Abdallah Gomaa,6.43,1,0,8,50.0,2,100.0,10,55.56,209,1,0,4,44,6,3
537,Al-Masry,Anthony Okpotu,6.43,1,0,4,20.0,2,28.57,6,22.22,130,4,5,7,23,7,2
538,Al-Mokawloon,Mohamed Shawky Gharib,6.42,0,0,15,50.0,1,20.0,16,45.71,292,5,4,5,72,16,3
539,Aswan SC,Imad El Kabbou,6.40,0,0,0,0.0,0,0.0,0,0.0,40,0,1,0,6,1,1
540,Zamalek SC,Mohamad Salah Zaki,6.40,0,0,0,0.0,0,0.0,0,0.0,23,0,0,0,1,1,0
541,Ismaily,Ahmed Abdel Wahab,6.40,0,0,1,33.33,1,100.0,2,50.0,58,1,1,1,11,1,1
542,Smouha,Rida El Barjiji,6.40,1,0,1,20.0,2,100.0,3,42.86,33,0,2,1,9,2,0
543,Ceramica Cleopatra,Amer Mohamed,6.40,0,0,2,100.0,0,0.0,2,100.0,180,2,0,0,14,2,2
544,Al-Mokawloon,Ahmed Abo Egela,6.40,0,0,3,33.33,0,0.0,3,33.33,47,0,0,2,16,2,1
545,Al-Masry,Mohamed Fawzy Gad,6.40,0,0,4,40.0,2,66.67,6,46.15,122,2,3,0,22,2,2
546,Al-Mokawloon,Mohamed Abdelnasser,6.40,0,0,0,0.0,1,50.0,1,33.33,12,0,1,0,2,2,0
547,Pharco FC,Mohammad Fouad,6.40,0,0,3,37.5,1,100.0,4,44.44,131,1,3,2,17,3,1
548,Aswan SC,Bai Kamara,6.40,0,0,1,20.0,0,0.0,1,20.0,80,0,1,1,12,3,1
549,Haras El Hedoud,Ahmed Amer,6.40,1,0,4,50.0,1,50.0,5,50.0,117,2,2,2,21,3,1
550,Ismaily,AbouBakr El Gamal,6.40,0,0,0,0.0,1,16.67,1,11.11,25,0,2,1,3,3,0
551,El Dakhlya,Mahmoud Ezzat,6.40,0,0,1,100.0,2,100.0,3,100.0,20,0,0,0,4,4,0
552,Ceramica Cleopatra,Gabriel Chukwudi,6.40,0,0,8,33.33,1,20.0,9,31.03,147,1,4,7,31,5,1
553,Ismaily,Hamdi Nagguez,6.40,3,0,17,41.46,7,87.5,24,48.98,474,2,5,8,105,8,5
554,Zamalek SC,Zakaria El Wardi,6.37,1,0,4,28.57,0,0.0,4,28.57,121,1,7,2,13,3,2
555,National Bank of Egypt,Hossam El Saana,6.35,0,0,2,33.33,0,0.0,2,18.18,58,1,2,1,8,2,1
556,Pharco FC,Walid Farag,6.34,0,1,19,50.0,2,22.22,21,44.68,307,10,6,8,47,5,4
557,Al-Ittihad Alexandria,Mohamed Fares,6.34,1,0,12,26.67,3,33.33,15,27.78,487,5,18,2,66,9,5
558,Haras El Hedoud,Ahmed Kasem,6.33,1,0,2,20.0,1,25.0,3,21.43,121,0,3,3,12,6,1
559,Al-Ittihad Alexandria,Fawzi El Henawy,6.31,1,0,23,44.23,6,54.55,29,46.03,453,7,8,2,75,11,4
560,ENPPI,Dejan Meleg,6.30,0,0,0,0.0,0,0.0,0,0.0,45,0,0,0,6,1,1
561,Tala'ea El-Gaish,El Sayed Abou Amenah,6.30,0,0,0,0.0,0,0.0,0,0.0,49,0,1,2,9,1,1
562,Smouha,Ahmed Ali Amin,6.30,0,0,0,0.0,0,0.0,0,0.0,10,0,0,0,2,1,0
563,Ghazl El Mahalla,Sayed Shabrawy,6.28,1,0,9,29.03,8,61.54,17,38.64,496,2,4,8,86,12,6
564,Aswan SC,Mahmoud Salah,6.28,0,0,5,29.41,2,22.22,7,26.92,123,5,2,7,32,8,1
565,Pharco FC,Marwan Magdy,6.22,2,0,8,42.11,0,0.0,8,36.36,126,5,3,5,15,9,0
566,Modern Future FC,Hesham Hafez,6.20,1,0,5,45.45,1,33.33,6,42.86,92,2,1,2,16,2,1
567,Al-Ittihad Alexandria,Elsayed Salem,6.20,0,0,2,28.57,5,50.0,7,41.18,139,0,1,1,48,5,1
568,Al-Ittihad Alexandria,Ahmed Bahaa,5.82,0,1,14,37.84,6,66.67,20,43.48,354,6,8,1,40,6,5
569,National Bank of Egypt,Mahmoud El Zanfaly,5.80,0,0,1,50.0,0,0.0,1,50.0,45,0,0,0,0,1,1
570,Modern Future FC,Mostafa Ashraf,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
571,Aswan SC,Khaled Walid,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1
572,Aswan SC,Islam Soliman,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
573,Pyramids FC,Youssef Shaaban,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
574,National Bank of Egypt,Khaled Mostafa,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
575,Modern Future FC,Mohamed Tarek,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1
576,Pyramids FC,Mohamed Samy,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
577,Pyramids FC,Abdel Rahman Ayman,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
578,Pharco FC,Sabry Gad,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
579,Pyramids FC,Seif Ezzat,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
580,Tala'ea El-Gaish,Mohamed Ghazal,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
581,Ceramica Cleopatra,Eslam Risha,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
582,Pyramids FC,Mahmoud Gamal,-,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
583,National Bank of Egypt,Hossam Ashraf,-,0,0,0,0.0,0,0.0,0,0.0,3,0,0,0,3,1,0
584,National Bank of Egypt,Mohamed Hamed,-,0,0,0,0.0,0,0.0,0,0.0,1,0,0,0,1,1,0
585,Al-Masry,Mohamed El Zareef,-,0,0,0,0.0,1,100.0,1,100.0,3,0,1,0,1,1,0
586,Pharco FC,Ahmed Abdulaziz,-,1,0,0,0.0,0,0.0,0,0.0,90,0,0,0,0,1,1
587,Pyramids FC,Youssef Nader,-,0,0,0,0.0,0,0.0,0,0.0,5,0,0,0,0,1,1
588,Pharco FC,Hesham Fathallah,-,0,0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,1,0
589,Aswan SC,Alaa Salama,-,0,0,1,25.0,0,0.0,1,20.0,6,0,0,2,3,1,0
590,El Dakhlya,Mustafa Abdelkader,-,0,0,0,0.0,0,0.0,0,0.0,3,0,0,0,0,1,0
591,Al-Mokawloon,Ademola Shobowale,-,0,0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,1,0
592,Ismaily,Mohamed Wagdi,-,0,0,2,50.0,0,0.0,2,50.0,7,0,0,1,4,1,0
593,Aswan SC,Elhusseini Samir,-,0,0,0,0.0,2,100.0,2,66.67,6,0,0,0,1,1,0
594,Ceramica Cleopatra,Abdelrahman Hassan,-,0,0,1,100.0,0,0.0,1,100.0,6,0,0,0,3,1,0
595,Aswan SC,Gamal El Said,-,0,0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,1,0
596,Aswan SC,Amin Mohamed Amin,-,0,0,0,0.0,0,0.0,0,0.0,2,0,0,0,0,1,0
597,El Dakhlya,Gamal Montasser,-,0,0,0,0.0,0,0.0,0,0.0,4,0,0,0,0,1,0
598,Modern Future FC,Bello Babatunde Martins,-,0,0,0,0.0,0,0.0,0,0.0,47,0,0,0,1,2,1
599,Pyramids FC,Ibrahim Sheta,-,0,0,0,0.0,0,0.0,0,0.0,2,0,0,0,0,2,0
600,Ghazl El Mahalla,Atef Al Hakim,-,0,0,0,0.0,0,0.0,0,0.0,21,0,0,0,1,2,0
601,Ghazl El Mahalla,Ahmad Algeaidy,-,0,0,0,0.0,0,0.0,0,0.0,9,0,0,2,5,3,0
